Customer_ID,gender,Age,Near_Location,Partner,Promo_friends,Membership_type,Fitness_goal,Contract_period,Month_to_end_contract,Lifetime,Workout_with_friends,Personal_trainer_contract,Avg_class_frequency_total,Class_frequency_last_month,Avg_visits_total,Avg_visits_last_month,Attendance_trend,Days_since_last_visit,Avg_additional_charges_total,Satisfaction_score,Avg_workout_time,Preferred_workout_time,Churn
GYM00001,1,29,0-2km,1,1,standard,health,6,5.0,3,1,1,0.0203979476208577,0.0,0.5,0.0,29.2,15,14.227470422861144,3.7,69,morning,0
GYM00002,0,31,8-10km,0,0,premium,health,12,12.0,7,1,1,1.9229360550418195,1.9102435215196407,6.34,3.42,12.5,1,113.2029376510582,4.7,55,afternoon_late,0
GYM00003,0,28,2-5km,1,0,premium,weight_loss,1,1.0,2,1,1,1.8590983473832376,1.7365018916344137,3.68,5.02,0.3,3,129.44847933200614,4.8,75,morning,0
GYM00004,0,33,2-5km,1,1,standard,rehabilitation,12,12.0,2,0,1,3.2056327682385,3.3572145130526616,8.51,6.23,2.2,1,62.66986319123829,3.7,66,night,0
GYM00005,1,26,0-2km,1,1,basic,bodybuilding,1,1.0,3,1,0,1.1138844004257795,1.120078107422207,1.06,0.72,-12.8,1,198.36226543903683,3.7,67,night,0
GYM00006,1,34,0-2km,0,0,standard,bodybuilding,1,1.0,3,0,1,2.6234768072839807,2.6370069647681804,10.09,7.91,-12.3,1,450.7439599104914,4.0,96,morning,0
GYM00007,1,32,0-2km,1,1,basic,health,6,6.0,2,1,0,1.138941228411322,1.2772416305372298,2.54,4.11,24.5,12,94.2663885148517,2.8,47,afternoon_late,0
GYM00008,0,30,5-8km,0,0,standard,weight_loss,1,1.0,0,0,1,1.2135019626583017,1.0493871451868677,0.5,0.33,-53.8,22,217.78664105008903,2.4,56,afternoon_early,1
GYM00009,1,23,2-5km,1,1,standard,health,1,1.0,1,1,0,1.106238932529013,1.059332976736446,4.81,3.97,11.2,2,45.40990920299768,3.9,50,night,0
GYM00010,0,31,2-5km,0,0,basic,weight_loss,1,1.0,11,0,0,1.81085190458252,1.9513676552017305,3.07,1.35,31.3,0,65.31083634086433,3.7,45,morning,0
GYM00011,0,32,0-2km,0,0,basic,health,6,6.0,3,0,1,1.6411796616862384,1.36771396663351,3.55,1.3,5.3,4,229.70894524511127,3.1,57,afternoon_early,0
GYM00012,1,27,8-10km,1,0,standard,bodybuilding,1,1.0,2,0,0,2.3485353357599856,1.5843158272716689,1.77,2.74,-41.0,19,266.7838237446521,1.4,52,afternoon_early,1
GYM00013,0,33,2-5km,1,1,standard,health,1,1.0,4,0,0,3.3686057499800075,3.3918531715752978,5.33,7.4,33.0,8,148.41805281528684,3.3,48,morning,0
GYM00014,1,27,0-2km,0,0,basic,weight_loss,1,1.0,1,0,0,0.0,0.0,0.5,0.0,-12.4,55,152.74866849929762,1.2,54,morning,1
GYM00015,0,35,0-2km,0,0,standard,health,6,3.0,8,1,1,1.978083818026388,2.117349155762039,4.81,3.86,33.4,2,209.8881331905138,3.4,55,afternoon_early,0
GYM00016,0,29,0-2km,1,1,standard,health,12,10.0,4,0,0,2.850402196472184,2.836455259119332,7.16,6.05,16.5,0,101.37260415417305,3.4,45,morning,0
