Customer_ID,gender,Age,Near_Location,Partner,Promo_friends,Membership_type,Fitness_goal,Contract_period,Month_to_end_contract,Lifetime,Workout_with_friends,Personal_trainer_contract,Avg_class_frequency_total,Class_frequency_last_month,Avg_visits_total,Avg_visits_last_month,Attendance_trend,Days_since_last_visit,Avg_additional_charges_total,Satisfaction_score,Avg_workout_time,Preferred_workout_time,Churn
GYM00001,1,29,0-2km,1,1,standard,health,6,5.0,3,1,1,0.0203979476208577,0.0,0.1,0.0,-20.0,9,14.227470422861144,3.5,49,afternoon_early,0
GYM00002,0,31,8-10km,0,0,premium,health,12,12.0,7,1,1,1.9229360550418195,1.9102435215196407,5.06,3.53,10.7,2,113.2029376510582,4.4,71,afternoon_early,0
GYM00003,0,28,2-5km,1,0,premium,weight_loss,1,1.0,2,1,1,1.8590983473832376,1.7365018916344137,3.71,4.42,-14.2,6,129.44847933200614,4.2,70,afternoon_early,0
GYM00004,0,33,2-5km,1,1,standard,rehabilitation,12,12.0,2,0,1,3.2056327682385,3.3572145130526616,7.95,6.17,-4.3,5,62.66986319123829,3.3,60,morning,0
GYM00005,1,26,0-2km,1,1,basic,bodybuilding,1,1.0,3,0,0,1.1138844004257795,1.120078107422207,1.67,1.3,-4.2,2,198.36226543903683,3.5,78,afternoon_early,0
GYM00006,1,34,0-2km,0,0,standard,weight_loss,1,1.0,3,0,1,2.6234768072839807,2.6370069647681804,8.25,6.75,3.2,3,450.7439599104914,4.3,59,morning,0
GYM00007,1,32,0-2km,1,1,standard,health,6,6.0,2,1,0,1.138941228411322,1.2772416305372298,2.7,3.58,21.9,4,94.2663885148517,3.5,56,afternoon_late,0
GYM00008,0,30,5-8km,0,0,standard,weight_loss,1,1.0,0,0,1,1.2135019626583017,1.0493871451868677,1.11,1.31,-14.6,5,217.78664105008903,2.9,47,morning,1
GYM00009,1,23,2-5km,1,1,standard,health,1,1.0,1,1,0,1.106238932529013,1.059332976736446,3.77,3.23,-15.8,1,45.40990920299768,3.4,49,night,0
GYM00010,0,31,2-5km,0,0,basic,weight_loss,1,1.0,11,0,0,1.81085190458252,1.9513676552017305,3.25,2.24,-2.1,1,65.31083634086433,3.1,52,morning,0
GYM00011,0,32,0-2km,0,0,basic,health,6,6.0,3,0,1,1.6411796616862384,1.36771396663351,3.48,1.79,-15.2,7,229.70894524511127,3.2,58,morning,0
GYM00012,1,27,8-10km,1,0,standard,bodybuilding,1,1.0,2,0,0,2.3485353357599856,1.5843158272716689,2.85,2.54,-20.6,9,266.7838237446521,2.3,67,afternoon_late,1
GYM00013,0,33,5-8km,1,1,standard,health,1,1.0,4,0,0,3.3686057499800075,3.3918531715752978,5.72,7.36,15.2,3,148.41805281528684,4.4,40,afternoon_early,0
GYM00014,1,27,0-2km,0,0,basic,weight_loss,1,1.0,1,0,0,0.0,0.0,0.1,0.0,-14.2,49,152.74866849929762,2.0,35,afternoon_early,1
GYM00015,0,35,0-2km,0,0,standard,health,6,3.0,8,1,1,1.978083818026388,2.117349155762039,4.42,3.9,8.2,1,209.8881331905138,3.6,46,afternoon_early,0
GYM00016,0,29,0-2km,1,1,standard,health,12,10.0,4,0,0,2.850402196472184,2.836455259119332,7.12,6.2,-8.7,1,101.37260415417305,3.8,28,morning,0
GYM00017,0,31,0-2km,1,1,standard,bodybuilding,1,1.0,0,1,0,3.3422611433294565,3.2062232230844008,7.71,5.04,-11.3,9,11.975295259522357,3.1,65,morning,0
GYM00018,0,29,2-5km,0,1,premium,health,6,5.0,1,0,0,0.6644824749922384,0.6099452944797018,1.35,2.04,-16.1,4,92.78741424476028,4.5,43,afternoon_late,0
GYM00019,0,30,0-2km,0,0,basic,bodybuilding,1,1.0,8,1,0,1.50707557553785,1.5787380483152962,2.37,4.08,2.1,1,97.80431525583174,3.5,68,afternoon_early,0
