Customer_ID,gender,Age,Near_Location,Partner,Promo_friends,Membership_type,Fitness_goal,Contract_period,Month_to_end_contract,Lifetime,Workout_with_friends,Personal_trainer_contract,Avg_class_frequency_total,Class_frequency_last_month,Avg_visits_total,Avg_visits_last_month,Attendance_trend,Days_since_last_visit,Avg_additional_charges_total,Satisfaction_score,Avg_workout_time,Preferred_workout_time,Churn
GYM00001,1,29,0-2km,1,1,standard,health,6,5.0,3,1,1,0.0203979476208577,0.0,0.33066141727629395,0.0,-20.0,9,22.17209277705343,3.5188448477243384,49,afternoon_early,1
GYM00002,0,31,8-10km,0,0,premium,health,12,12.0,7,1,1,1.9229360550418195,1.9102435215196407,4.79067511531783,3.44392662167682,10.7,2,102.97268136017439,4.487259105741615,71,afternoon_early,0
GYM00003,0,28,2-5km,1,0,premium,weight_loss,1,1.0,2,1,1,1.8590983473832376,1.7365018916344137,3.6203547934201907,4.5388744689542895,-14.2,6,128.199003298812,4.17995426887047,70,afternoon_early,0
GYM00004,0,33,2-5km,1,1,standard,rehabilitation,12,12.0,2,0,1,3.2056327682385,3.3572145130526616,8.123171821044492,6.149854814983754,-4.3,5,65.26896518002113,3.343119797433816,60,morning,0
GYM00005,1,26,0-2km,1,1,basic,bodybuilding,1,1.0,3,0,0,1.1138844004257795,1.120078107422207,1.6386461746330758,1.2503953085327817,-4.2,2,206.8939923968744,3.50010177490486,78,afternoon_early,1
GYM00006,1,34,0-2km,0,0,standard,weight_loss,1,1.0,3,0,1,2.6234768072839807,2.6370069647681804,8.225709802690135,6.742197241865418,3.2,3,447.4125916382975,4.3308103048388,59,morning,0
GYM00007,1,32,0-2km,1,1,standard,health,6,6.0,2,1,0,1.138941228411322,1.2772416305372298,2.7848835444833155,3.4954830317368275,21.9,4,99.22224277006211,3.539414711149492,56,afternoon_late,0
GYM00008,0,30,5-8km,0,0,standard,weight_loss,1,1.0,0,0,1,1.2135019626583017,1.0493871451868677,0.9553654264403271,1.3871795178339263,-14.6,5,219.37487860073801,2.900234933577863,47,morning,1
GYM00009,1,23,2-5km,1,1,standard,health,1,1.0,1,1,0,1.106238932529013,1.059332976736446,3.8796391140363244,3.1971526792072895,-15.8,1,54.53259430515591,3.352464655268248,49,night,1
GYM00010,0,31,2-5km,0,0,basic,weight_loss,1,1.0,11,0,0,1.81085190458252,1.9513676552017305,3.204583826851809,2.3765390568697446,-2.1,1,64.74296731465887,3.040520109044419,52,morning,1
GYM00011,0,32,0-2km,0,0,basic,health,6,6.0,3,0,1,1.6411796616862384,1.36771396663351,3.459504182841942,2.0520458387362455,-15.2,7,233.09427343564963,3.2556009130569086,58,morning,1
GYM00012,1,27,8-10km,1,0,standard,bodybuilding,1,1.0,2,0,0,2.3485353357599856,1.5843158272716689,2.748916610059162,2.4328007352603684,-20.6,9,270.2724361515607,2.3304831961228256,67,afternoon_late,1
GYM00013,0,33,5-8km,1,1,standard,health,1,1.0,4,0,0,3.3686057499800075,3.3918531715752978,5.7826823403354854,7.095945749914533,15.2,3,150.13058788778645,4.447361792060128,40,afternoon_early,0
GYM00014,1,27,0-2km,0,0,basic,weight_loss,1,1.0,1,0,0,0.0,0.0,0.06070599058275311,0.0,-14.2,49,147.67668085162506,2.032695238593207,35,afternoon_early,1
GYM00015,0,35,0-2km,0,0,standard,health,6,3.0,8,1,1,1.978083818026388,2.117349155762039,4.454235411937337,3.7984318409663635,8.2,1,204.76323727360034,3.6518330640453254,46,afternoon_early,0
GYM00016,0,29,0-2km,1,1,standard,health,12,10.0,4,0,0,2.850402196472184,2.836455259119332,7.073818792114232,6.088164676564741,-8.7,1,98.5804468521472,3.8107299554642187,28,morning,1
